Tytul;issn;eissn;punkty;;;;;;;;
AGING CELL;1474-9718;;40;;;;;;;;
AGING CLINICAL AND EXPERIMENTAL RESEARCH;1594-0667;;20;;;;;;;;
Aging Male;1368-5538;;25;;;;;;;;
Aging, Neuropsychology and Cognition;1382-5585;;25;;;;;;;;
Aging-US;1945-4589;;30;;;;;;;;
Agrarforschung Schweiz;1663-7852;;15;;;;;;;;
Agrekon;0303-1853;;20;;;;;;;;
Agribusiness;0742-4477;;25;;;;;;;;
AGRICULTURAL AND FOOD SCIENCE;1459-6067;;30;;;;;;;;
AGRICULTURAL AND FOREST ENTOMOLOGY;1461-9555;;35;;;;;;;;
AGRICULTURAL AND FOREST METEOROLOGY;0168-1923;;45;;;;;;;;
AGRICULTURAL ECONOMICS;0169-5150;;35;;;;;;;;
Agricultural Economics-Zemedelska Ekonomika;0139-570X;;15;;;;;;;;
AGRICULTURAL HISTORY;0002-1482;;20;;;;;;;;
Agricultural Sciences in China;1671-2927;;30;;;;;;;;
AGRICULTURAL SYSTEMS;0308-521X;;50;;;;;;;;
AGRICULTURAL WATER MANAGEMENT;0378-3774;;40;;;;;;;;
AGRICULTURE AND HUMAN VALUES;0889-048X;;45;;;;;;;;
AGRICULTURE ECOSYSTEMS & ENVIRONMENT;0167-8809;;40;;;;;;;;
AGRO FOOD INDUSTRY HI-TECH;1722-6996;;15;;;;;;;;
AGROCHIMICA;0002-1857;;15;;;;;;;;
AGROCIENCIA;1405-3195;;20;;;;;;;;
Agroecology and Sustainable Food Systems;2168-3565;;25;;;;;;;;
AGROFORESTRY SYSTEMS;0167-4366;;30;;;;;;;;
Agronomy for Sustainable Development;1774-0746;;45;;;;;;;;
AGRONOMY JOURNAL;0002-1962;;35;;;;;;;;
AI COMMUNICATIONS;0921-7126;;15;;;;;;;;
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING;0890-0604;;25;;;;;;;;
AI MAGAZINE;0738-4602;;20;;;;;;;;
AIAA JOURNAL;0001-1452;;40;;;;;;;;
AIBR-Revista de Antropologia Iberoamericana;1695-9752;;15;;;;;;;;
AICHE JOURNAL;0001-1541;;35;;;;;;;;
AIDS;0269-9370;;40;;;;;;;;
AIDS AND BEHAVIOR;1090-7165;;45;;;;;;;;
AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS
OF AIDS/HIV;0954-0121;;30;;;;;;;;
AIDS EDUCATION AND PREVENTION;0899-9546;;35;;;;;;;;
AIDS PATIENT CARE AND STDS;1087-2914;;35;;;;;;;;
AIDS RESEARCH AND HUMAN RETROVIRUSES;0889-2229;;20;;;;;;;;
AIDS Research and Therapy;1742-6405;;20;;;;;;;;
AIDS REVIEWS;1139-6121;;35;;;;;;;;
AIP Advances;2158-3226;;25;;;;;;;;
Air Quality Atmosphere and Health;1873-9318;;25;;;;;;;;
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY;1748-8842;;20;;;;;;;;
AJAR-African Journal of AIDS Research;1608-5906;;15;;;;;;;;
AJIDD-American Journal on Intellectual and Developmental
Disabilities;1944-7515;;45;;;;;;;;
AKTUELLE NEUROLOGIE;0302-4350;;15;;;;;;;;
AKTUELLE RHEUMATOLOGIE;0341-051X;;15;;;;;;;;
AKTUELLE UROLOGIE;0001-7868;;15;;;;;;;;
ALCHERINGA;0311-5518;;20;;;;;;;;
ALCOHOL;0741-8329;;25;;;;;;;;
ALCOHOL AND ALCOHOLISM;0735-0414;;35;;;;;;;;
Alcohol Research-Current Reviews;1535-7414;;35;;;;;;;;
ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH;0145-6008;;45;;;;;;;;
ALDRICHIMICA ACTA;0002-5100;;50;;;;;;;;
ALEA-Latin American Journal of Probability and
Mathematical Statistics;1980-0436;;20;;;;;;;;
ALGAE;1226-2617;;30;;;;;;;;
Algal Research-Biomass Biofuels and Bioproducts;2211-9264;;40;;;;;;;;
Algebra & Number Theory;1937-0652;;35;;;;;;;;
Algebra and Logic;0002-5232;;25;;;;;;;;
ALGEBRA COLLOQUIUM;1005-3867;;15;;;;;;;;
ALGEBRA UNIVERSALIS;0002-5240;;20;;;;;;;;
Algebraic and Geometric Topology;1472-2739;;25;;;;;;;;
ALGEBRAS AND REPRESENTATION THEORY;1386-923X;;25;;;;;;;;
ALGORITHMICA;0178-4617;;25;;;;;;;;
Algorithms for Molecular Biology;1748-7188;;25;;;;;;;;
ALIMENTARY PHARMACOLOGY & THERAPEUTICS;0269-2813;;45;;;;;;;;
ALLELOPATHY JOURNAL;0971-4693;;20;;;;;;;;
ALLERGOLOGIA ET IMMUNOPATHOLOGIA;0301-0546;;20;;;;;;;;
ALLERGOLOGIE;0344-5062;;15;;;;;;;;
ALLERGOLOGY INTERNATIONAL;1323-8930;;25;;;;;;;;
ALLERGY;0105-4538;;45;;;;;;;;
ALLERGY AND ASTHMA PROCEEDINGS;1088-5412;;25;;;;;;;;
Allergy Asthma & Immunology Research;2092-7355;;30;;;;;;;;
Allergy Asthma and Clinical Immunology;1710-1484;;20;;;;;;;;
ALLGEMEINE FORST UND JAGDZEITUNG;0002-5852;;15;;;;;;;;
Alpine Botany;1664-2201;;30;;;;;;;;
Alternative Medicine Review;1089-5159;;50;;;;;;;;
ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE;1078-6791;;30;;;;;;;;
ALTERNATIVES;0304-3754;;20;;;;;;;;
ALTEX-Alternatives to Animal Experimentation;1868-596X;;40;;;;;;;;
ALZHEIMER DISEASE & ASSOCIATED DISORDERS;0893-0341;;35;;;;;;;;
Alzheimers & Dementia;1552-5260;;50;;;;;;;;
Alzheimers Research & Therapy;1758-9193;;40;;;;;;;;
AMA-Agricultural Mechanization in Asia Africa and Latin
America;0084-5841;;15;;;;;;;;
AMB Express;2191-0855;;25;;;;;;;;
AMBIO;0044-7447;;35;;;;;;;;
Ambix;0002-6980;;25;;;;;;;;
AMEGHINIANA;0002-7014;;30;;;;;;;;
AMERICAN ANNALS OF THE DEAF;0002-726X;;25;;;;;;;;
AMERICAN ANTHROPOLOGIST;0002-7294;;35;;;;;;;;
AMERICAN ANTIQUITY;0002-7316;;35;;;;;;;;
AMERICAN BANKRUPTCY LAW JOURNAL;0027-9048;;25;;;;;;;;
AMERICAN BEE JOURNAL;0002-7626;;15;;;;;;;;
AMERICAN BEHAVIORAL SCIENTIST;0002-7642;;30;;;;;;;;
AMERICAN BIOLOGY TEACHER;0002-7685;;15;;;;;;;;
AMERICAN BUSINESS LAW JOURNAL;0002-7766;;30;;;;;;;;
AMERICAN CERAMIC SOCIETY BULLETIN;0002-7812;;25;;;;;;;;
AMERICAN CRIMINAL LAW REVIEW;0164-0364;;25;;;;;;;;
American Economic Journal-Applied Economics;1945-7782;;45;;;;;;;;
American Economic Journal-Economic Policy;1945-7731;;45;;;;;;;;
American Economic Journal-Macroeconomics;1945-7707;;45;;;;;;;;
American Economic Journal-Microeconomics;1945-7669;;35;;;;;;;;
AMERICAN ECONOMIC REVIEW;0002-8282;;45;;;;;;;;
AMERICAN EDUCATIONAL RESEARCH JOURNAL;0002-8312;;50;;;;;;;;
AMERICAN ETHNOLOGIST;0094-0496;;35;;;;;;;;
AMERICAN FAMILY PHYSICIAN;0002-838X;;40;;;;;;;;
AMERICAN FERN JOURNAL;0002-8444;;15;;;;;;;;
AMERICAN HEART JOURNAL;0002-8703;;35;;;;;;;;
AMERICAN HISTORICAL REVIEW;0002-8762;;50;;;;;;;;
AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH
RESEARCH;0893-5394;;20;;;;;;;;
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS;0002-9092;;35;;;;;;;;
American Journal of Alzheimers Disease and Other
Dementias;1533-3175;;20;;;;;;;;
American Journal of Audiology;1059-0889;;25;;;;;;;;
AMERICAN JOURNAL OF BIOETHICS;1526-5161;;50;;;;;;;;
AMERICAN JOURNAL OF BOTANY;0002-9122;;35;;;;;;;;
American Journal of Cancer Research;2156-6976;;35;;;;;;;;
AMERICAN JOURNAL OF CARDIOLOGY;0002-9149;;30;;;;;;;;
American Journal of Cardiovascular Drugs;1175-3277;;25;;;;;;;;
AMERICAN JOURNAL OF CHINESE MEDICINE;0192-415X;;35;;;;;;;;
AMERICAN JOURNAL OF CLINICAL DERMATOLOGY;1175-0561;;35;;;;;;;;
AMERICAN JOURNAL OF CLINICAL HYPNOSIS;0002-9157;;15;;;;;;;;
AMERICAN JOURNAL OF CLINICAL NUTRITION;0002-9165;;45;;;;;;;;
AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER
CLINICAL TRIALS;0277-3732;;20;;;;;;;;
AMERICAN JOURNAL OF CLINICAL PATHOLOGY;0002-9173;;35;;;;;;;;
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY;0091-0562;;40;;;;;;;;
AMERICAN JOURNAL OF COMPARATIVE LAW;0002-919X;;30;;;;;;;;
AMERICAN JOURNAL OF CRITICAL CARE;1062-3264;;35;;;;;;;;
AMERICAN JOURNAL OF DENTISTRY;0894-8275;;25;;;;;;;;
AMERICAN JOURNAL OF DERMATOPATHOLOGY;0193-1091;;25;;;;;;;;
AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE;0095-2990;;25;;;;;;;;
AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY;0002-9246;;15;;;;;;;;
AMERICAN JOURNAL OF EDUCATION;0195-6744;;35;;;;;;;;
AMERICAN JOURNAL OF EMERGENCY MEDICINE;0735-6757;;30;;;;;;;;
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE;0002-9254;;30;;;;;;;;
AMERICAN JOURNAL OF EPIDEMIOLOGY;0002-9262;;45;;;;;;;;
AMERICAN JOURNAL OF EVALUATION;1098-2140;;40;;;;;;;;
AMERICAN JOURNAL OF FAMILY THERAPY;0192-6187;;15;;;;;;;;
AMERICAN JOURNAL OF FORENSIC MEDICINE AND
PATHOLOGY;0195-7910;;20;;;;;;;;
AMERICAN JOURNAL OF GASTROENTEROLOGY;0002-9270;;45;;;;;;;;
American Journal of Geriatric Pharmacotherapy;1543-5946;;30;;;;;;;;
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY;1064-7481;;40;;;;;;;;
AMERICAN JOURNAL OF HEALTH BEHAVIOR;1945-7359;;25;;;;;;;;
AMERICAN JOURNAL OF HEALTH PROMOTION;0890-1171;;30;;;;;;;;
AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY;1079-2082;;25;;;;;;;;
AMERICAN JOURNAL OF HEMATOLOGY;0361-8609;;35;;;;;;;;
American Journal of Hospice & Palliative Medicine;1049-9091;;20;;;;;;;;
AMERICAN JOURNAL OF HUMAN BIOLOGY;1042-0533;;35;;;;;;;;
AMERICAN JOURNAL OF HUMAN GENETICS;0002-9297;;45;;;;;;;;
AMERICAN JOURNAL OF HYPERTENSION;0895-7061;;35;;;;;;;;
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE;0271-3586;;30;;;;;;;;
AMERICAN JOURNAL OF INFECTION CONTROL;0196-6553;;30;;;;;;;;
AMERICAN JOURNAL OF INTERNATIONAL LAW;0002-9300;;30;;;;;;;;
AMERICAN JOURNAL OF KIDNEY DISEASES;0272-6386;;45;;;;;;;;
AMERICAN JOURNAL OF LAW & MEDICINE;0098-8588;;30;;;;;;;;
AMERICAN JOURNAL OF MANAGED CARE;1088-0224;;35;;;;;;;;
AMERICAN JOURNAL OF MATHEMATICS;0002-9327;;45;;;;;;;;
AMERICAN JOURNAL OF MEDICAL GENETICS PART A;1552-4825;;20;;;;;;;;
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-
NEUROPSYCHIATRIC GENETICS;1552-4841;;35;;;;;;;;
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-
SEMINARS IN MEDICAL GENETICS;1552-4868;;35;;;;;;;;
AMERICAN JOURNAL OF MEDICAL QUALITY;1062-8606;;25;;;;;;;;
AMERICAN JOURNAL OF MEDICINE;0002-9343;;40;;;;;;;;
American Journal of Mens Health;1557-9883;;20;;;;;;;;
AMERICAN JOURNAL OF NEPHROLOGY;0250-8095;;35;;;;;;;;
AMERICAN JOURNAL OF NEURORADIOLOGY;0195-6108;;35;;;;;;;;
AMERICAN JOURNAL OF NURSING;0002-936X;;35;;;;;;;;
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY;0002-9378;;45;;;;;;;;
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY;0272-9490;;35;;;;;;;;
AMERICAN JOURNAL OF OPHTHALMOLOGY;0002-9394;;45;;;;;;;;
AMERICAN JOURNAL OF ORTHODONTICS AND
DENTOFACIAL ORTHOPEDICS;0889-5406;;30;;;;;;;;
AMERICAN JOURNAL OF ORTHOPSYCHIATRY;0002-9432;;35;;;;;;;;
AMERICAN JOURNAL OF OTOLARYNGOLOGY;0196-0709;;25;;;;;;;;
AMERICAN JOURNAL OF PATHOLOGY;0002-9440;;45;;;;;;;;
AMERICAN JOURNAL OF PERINATOLOGY;0735-1631;;25;;;;;;;;
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION;0002-9459;;25;;;;;;;;
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY;0002-9483;;35;;;;;;;;
AMERICAN JOURNAL OF PHYSICAL MEDICINE &
REHABILITATION;0894-9115;;35;;;;;;;;
AMERICAN JOURNAL OF PHYSICS;0002-9505;;25;;;;;;;;
AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY;0363-6143;;35;;;;;;;;
AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY
AND METABOLISM;0193-1849;;40;;;;;;;;
AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL
AND LIVER PHYSIOLOGY;0193-1857;;35;;;;;;;;
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND
CIRCULATORY PHYSIOLOGY;0363-6135;;35;;;;;;;;
AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND
MOLECULAR PHYSIOLOGY;1040-0605;;40;;;;;;;;
AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY
INTEGRATIVE AND COMPARATIVE PHYSIOLOGY;0363-6119;;30;;;;;;;;
AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY;1931-857X;;40;;;;;;;;
AMERICAN JOURNAL OF POLITICAL SCIENCE;0092-5853;;50;;;;;;;;
AMERICAN JOURNAL OF POTATO RESEARCH;1099-209X;;30;;;;;;;;
AMERICAN JOURNAL OF PREVENTIVE MEDICINE;0749-3797;;45;;;;;;;;
AMERICAN JOURNAL OF PRIMATOLOGY;0275-2565;;40;;;;;;;;
AMERICAN JOURNAL OF PSYCHIATRY;0002-953X;;50;;;;;;;;
AMERICAN JOURNAL OF PSYCHOLOGY;0002-9556;;25;;;;;;;;
AMERICAN JOURNAL OF PUBLIC HEALTH;0090-0036;;45;;;;;;;;
AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY;1046-7408;;30;;;;;;;;
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE
MEDICINE;1073-449X;;50;;;;;;;;
AMERICAN JOURNAL OF RESPIRATORY CELL AND
MOLECULAR BIOLOGY;1044-1549;;35;;;;;;;;
American Journal of Rhinology & Allergy;1945-8924;;40;;;;;;;;
AMERICAN JOURNAL OF ROENTGENOLOGY;0361-803X;;35;;;;;;;;
AMERICAN JOURNAL OF SCIENCE;0002-9599;;45;;;;;;;;
AMERICAN JOURNAL OF SOCIOLOGY;0002-9602;;50;;;;;;;;
AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY;1058-0360;;45;;;;;;;;
AMERICAN JOURNAL OF SPORTS MEDICINE;0363-5465;;50;;;;;;;;
AMERICAN JOURNAL OF SURGERY;0002-9610;;35;;;;;;;;
AMERICAN JOURNAL OF SURGICAL PATHOLOGY;0147-5185;;45;;;;;;;;
AMERICAN JOURNAL OF THE MEDICAL SCIENCES;0002-9629;;25;;;;;;;;
AMERICAN JOURNAL OF THERAPEUTICS;1075-2765;;20;;;;;;;;
American Journal of Translational Research;1943-8141;;35;;;;;;;;
AMERICAN JOURNAL OF TRANSPLANTATION;1600-6135;;50;;;;;;;;
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE;0002-9637;;40;;;;;;;;
AMERICAN JOURNAL OF VETERINARY RESEARCH;0002-9645;;35;;;;;;;;
AMERICAN JOURNAL ON ADDICTIONS;1055-0496;;25;;;;;;;;
AMERICAN LABORATORY;0044-7749;;15;;;;;;;;
American Law and Economics Review;1465-7252;;30;;;;;;;;
AMERICAN MALACOLOGICAL BULLETIN;0740-2783;;25;;;;;;;;
AMERICAN MATHEMATICAL MONTHLY;0002-9890;;20;;;;;;;;
AMERICAN MIDLAND NATURALIST;0003-0031;;20;;;;;;;;
AMERICAN MINERALOGIST;0003-004X;;35;;;;;;;;
AMERICAN MUSEUM NOVITATES;0003-0082;;35;;;;;;;;
AMERICAN NATURALIST;0003-0147;;40;;;;;;;;
AMERICAN POLITICAL SCIENCE REVIEW;0003-0554;;50;;;;;;;;
AMERICAN POLITICS RESEARCH;1532-673X;;30;;;;;;;;
AMERICAN PSYCHOLOGIST;0003-066X;;45;;;;;;;;
AMERICAN REVIEW OF PUBLIC ADMINISTRATION;0275-0740;;30;;;;;;;;
AMERICAN SCIENTIST;0003-0996;;25;;;;;;;;
AMERICAN SOCIOLOGICAL REVIEW;0003-1224;;50;;;;;;;;
AMERICAN SPEECH;0003-1283;;25;;;;;;;;
AMERICAN STATISTICIAN;0003-1305;;25;;;;;;;;
AMERICAN SURGEON;0003-1348;;20;;;;;;;;
Amfiteatru Economic;1582-9146;;25;;;;;;;;
AMINO ACIDS;0939-4451;;30;;;;;;;;
Amme Idaresi Dergisi;1300-1795;;15;;;;;;;;
AMPHIBIA-REPTILIA;0173-5373;;25;;;;;;;;
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS;1350-6129;;30;;;;;;;;
Amyotrophic Lateral Sclerosis;1748-2968;;30;;;;;;;;
Amyotrophic Lateral Sclerosis and Frontotemporal
Degeneration;2167-8421;;25;;;;;;;;
Anadolu Kardiyoloji Dergisi-The Anatolian Journal of
Cardiology;1302-8723;;15;;;;;;;;
Anadolu Psikiyatri Dergisi-Anatolian Journal of Psychiatry;1302-6631;;15;;;;;;;;
ANAEROBE;1075-9964;;25;;;;;;;;
ANAESTHESIA;0003-2409;;35;;;;;;;;
ANAESTHESIA AND INTENSIVE CARE;0310-057X;;20;;;;;;;;
Anaesthesia Critical Care & Pain Medicine;2352-5568;;15;;;;;;;;
ANAESTHESIST;0003-2417;;15;;;;;;;;
ANAIS BRASILEIROS DE DERMATOLOGIA;0365-0596;;15;;;;;;;;
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS;0001-3765;;30;;;;;;;;
Analele Stiintifice ale Universitatii Al I Cuza din Iasi-Serie
Noua-Matematica;1221-8421;;15;;;;;;;;
Analele Stiintifice ale Universitatii Ovidius Constanta-Seria
Matematica;1224-1784;;15;;;;;;;;
ANALES DE PEDIATRIA;1695-4033;;15;;;;;;;;
Anales de Psicologia;0212-9728;;20;;;;;;;;
ANALES DEL JARDIN BOTANICO DE MADRID;0211-1322;;20;;;;;;;;
Anales del Sistema Sanitario De Navarra;1137-6627;;15;;;;;;;;
ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING;0925-1030;;15;;;;;;;;
Analyses of Social Issues and Public Policy;1529-7489;;30;;;;;;;;
Analysis & PDE;1948-206X;;40;;;;;;;;
Analysis and Applications;0219-5305;;40;;;;;;;;
Analysis and Mathematical Physics;1664-2368;;25;;;;;;;;
Analysis Mathematica;0133-3852;;15;;;;;;;;
ANALYST;0003-2654;;40;;;;;;;;
ANALYTICA CHIMICA ACTA;0003-2670;;45;;;;;;;;
ANALYTICAL AND BIOANALYTICAL CHEMISTRY;1618-2642;;40;;;;;;;;
Analytical and Quantitative Cytopathology and
Histopathology;0884-6812;;15;;;;;;;;
ANALYTICAL BIOCHEMISTRY;0003-2697;;30;;;;;;;;
Analytical Cellular Pathology;2210-7177;;20;;;;;;;;
ANALYTICAL CHEMISTRY;0003-2700;;45;;;;;;;;
ANALYTICAL LETTERS;0003-2719;;20;;;;;;;;
Analytical Methods;1759-9660;;25;;;;;;;;
ANALYTICAL SCIENCES;0910-6340;;20;;;;;;;;
ANASTHESIOLOGIE & INTENSIVMEDIZIN;0170-5334;;15;;;;;;;;
ANASTHESIOLOGIE INTENSIVMEDIZIN NOTFALLMEDIZIN
SCHMERZTHERAPIE;0939-2661;;15;;;;;;;;
Anatolian Journal of Cardiology;2149-2263;;15;;;;;;;;
ANATOMIA HISTOLOGIA EMBRYOLOGIA;0340-2096;;20;;;;;;;;
Anatomical Record-Advances in Integrative Anatomy and
Evolutionary Biology;1932-8486;;25;;;;;;;;
ANATOMICAL SCIENCE INTERNATIONAL;1447-6959;;15;;;;;;;;
Anatomical Sciences Education;1935-9772;;35;;;;;;;;
Andamios;1870-0063;;15;;;;;;;;
Andean Geology;0718-7106;;30;;;;;;;;
ANDROLOGIA;0303-4569;;20;;;;;;;;
Andrology;2047-2919;;35;;;;;;;;
ANESTHESIA AND ANALGESIA;0003-2999;;40;;;;;;;;
ANESTHESIOLOGY;0003-3022;;45;;;;;;;;
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION;1433-7851;;45;;;;;;;;
ANGIOGENESIS;0969-6970;;40;;;;;;;;
ANGIOLOGY;0003-3197;;20;;;;;;;;
ANGLE ORTHODONTIST;0003-3219;;30;;;;;;;;
Animal;1751-7311;;40;;;;;;;;
ANIMAL BEHAVIOUR;0003-3472;;40;;;;;;;;
ANIMAL BIODIVERSITY AND CONSERVATION;1578-665X;;20;;;;;;;;
ANIMAL BIOLOGY;1570-7555;;20;;;;;;;;
ANIMAL BIOTECHNOLOGY;1049-5398;;20;;;;;;;;
Animal Cells and Systems;1976-8354;;15;;;;;;;;
ANIMAL COGNITION;1435-9448;;35;;;;;;;;
ANIMAL CONSERVATION;1367-9430;;35;;;;;;;;
ANIMAL FEED SCIENCE AND TECHNOLOGY;0377-8401;;45;;;;;;;;
ANIMAL GENETICS;0268-9146;;40;;;;;;;;
ANIMAL HEALTH RESEARCH REVIEWS;1466-2523;;30;;;;;;;;
Animal Nutrition and Feed Technology;0972-2963;;15;;;;;;;;
Animal Production Science;1836-0939;;35;;;;;;;;
Animal Reproduction;1806-9614;;25;;;;;;;;
ANIMAL REPRODUCTION SCIENCE;0378-4320;;30;;;;;;;;
ANIMAL SCIENCE JOURNAL;1344-3941;;30;;;;;;;;
ANIMAL SCIENCE PAPERS AND REPORTS;0860-4037;;25;;;;;;;;
ANIMAL WELFARE;0962-7286;;35;;;;;;;;
Ankara Universitesi Veteriner Fakultesi Dergisi;1300-0861;;15;;;;;;;;
ANNALEN DER PHYSIK;0003-3804;;35;;;;;;;;
ANNALES ACADEMIAE SCIENTIARUM FENNICAE-
MATHEMATICA;1239-629X;;30;;;;;;;;
ANNALES BOTANICI FENNICI;0003-3847;;20;;;;;;;;
ANNALES D ENDOCRINOLOGIE;0003-4266;;15;;;;;;;;
ANNALES DE BIOLOGIE CLINIQUE;0003-3898;;15;;;;;;;;
ANNALES DE CARDIOLOGIE ET D ANGEIOLOGIE;0003-3928;;15;;;;;;;;
ANNALES DE CHIMIE-SCIENCE DES MATERIAUX;0151-9107;;15;;;;;;;;
Annales de Chirurgie Plastique Esthetique;0294-1260;;15;;;;;;;;
ANNALES DE DERMATOLOGIE ET DE VENEREOLOGIE;0151-9638;;15;;;;;;;;
ANNALES DE L INSTITUT FOURIER;0373-0956;;30;;;;;;;;
ANNALES DE L INSTITUT HENRI POINCARE-ANALYSE NON
LINEAIRE;0294-1449;;40;;;;;;;;
ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET
STATISTIQUES;0246-0203;;25;;;;;;;;
ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE;0037-9271;;20;;;;;;;;
ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF
LIMNOLOGY;0003-4088;;20;;;;;;;;
ANNALES DE PALEONTOLOGIE;0753-3969;;20;;;;;;;;
ANNALES DE PATHOLOGIE;0242-6498;;15;;;;;;;;
ANNALES GEOPHYSICAE;0992-7689;;25;;;;;;;;
ANNALES HENRI POINCARE;1424-0637;;25;;;;;;;;
ANNALES MEDICO-PSYCHOLOGIQUES;0003-4487;;15;;;;;;;;
Annales Polonici Mathematici;0066-2216;;15;;;;;;;;
ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE;0012-9593;;45;;;;;;;;
ANNALES SOCIETATIS GEOLOGORUM POLONIAE;0208-9068;;20;;;;;;;;
ANNALES ZOOLOGICI;0003-4541;;25;;;;;;;;
ANNALES ZOOLOGICI FENNICI;0003-455X;;25;;;;;;;;
ANNALI DELL ISTITUTO SUPERIORE DI SANITA;0021-2571;;20;;;;;;;;
ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA-
CLASSE DI SCIENZE;0391-173X;;40;;;;;;;;
ANNALI DI MATEMATICA PURA ED APPLICATA;0373-3114;;35;;;;;;;;
Annali Italiani di Chirurgia;0003-469X;;15;;;;;;;;
ANNALS ACADEMY OF MEDICINE SINGAPORE;0304-4602;;25;;;;;;;;
ANNALS OF AGRICULTURAL AND ENVIRONMENTAL
MEDICINE;1232-1966;;30;;;;;;;;
ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY;1081-1206;;30;;;;;;;;
ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER;0940-9602;;30;;;;;;;;
Annals of Animal Science;2300-8733;;20;;;;;;;;
ANNALS OF APPLIED BIOLOGY;0003-4746;;40;;;;;;;;
ANNALS OF APPLIED PROBABILITY;1050-5164;;30;;;;;;;;
Annals of Applied Statistics;1932-6157;;40;;;;;;;;
ANNALS OF BEHAVIORAL MEDICINE;0883-6612;;40;;;;;;;;
ANNALS OF BIOMEDICAL ENGINEERING;0090-6964;;35;;;;;;;;
ANNALS OF BOTANY;0305-7364;;40;;;;;;;;
ANNALS OF CARNEGIE MUSEUM;0097-4463;;20;;;;;;;;
ANNALS OF CLINICAL AND LABORATORY SCIENCE;0091-7370;;20;;;;;;;;
ANNALS OF CLINICAL BIOCHEMISTRY;0004-5632;;30;;;;;;;;
Annals of Clinical Microbiology and Antimicrobials;1476-0711;;20;;;;;;;;
Annals of Clinical Psychiatry;1040-1237;;25;;;;;;;;
Annals of Combinatorics;0218-0006;;15;;;;;;;;
Annals of Dermatology;1013-9087;;20;;;;;;;;
Annals of Diagnostic Pathology;1092-9134;;20;;;;;;;;
ANNALS OF DYSLEXIA;0736-9387;;35;;;;;;;;
Annals of Economics and Finance;1529-7373;;20;;;;;;;;
ANNALS OF EMERGENCY MEDICINE;0196-0644;;50;;;;;;;;
ANNALS OF EPIDEMIOLOGY;1047-2797;;40;;;;;;;;
ANNALS OF FAMILY MEDICINE;1544-1709;;45;;;;;;;;
Annals of Forest Research;1844-8135;;20;;;;;;;;
ANNALS OF FOREST SCIENCE;1286-4560;;40;;;;;;;;
Annals of Functional Analysis;2008-8752;;25;;;;;;;;
Annals of General Psychiatry;1744-859X;;20;;;;;;;;
ANNALS OF GEOPHYSICS;1593-5213;;20;;;;;;;;
ANNALS OF GLACIOLOGY;0260-3055;;30;;;;;;;;
ANNALS OF GLOBAL ANALYSIS AND GEOMETRY;0232-704X;;30;;;;;;;;
Annals of Global Health;2214-9996;;20;;;;;;;;
ANNALS OF HEMATOLOGY;0939-5555;;30;;;;;;;;
